Timestamp,Location,Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Network Type,Device Model,Carrier,Band,Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,VoNR Enabled,Network Congestion Level,Ping to Google (ms),Dropped Connection,hour,day_of_week,month,date,Location_encoded,Network Type_encoded,Carrier_encoded,Band_encoded,Network Congestion Level_encoded,Device Model_encoded,VoNR Enabled_encoded,Dropped Connection_encoded
2024-06-15 01:49:51.224697,Delhi,-100.8,768.99,33.42,12.6,3.4,5G NSA,Nord 4,Jio,n258,11,32.5,36,2,275.0,5,False,High,81.3,True,1,5,6,2024-06-15,2,1,3,0,0,2,0,1
2024-06-15 01:59:51.224695,Tokyo,-99.1,891.56,26.54,14.4,1.5,4G,Pixel 7,T-Mobile,n78,25,42.6,23,3,281.08,3,True,High,69.9,False,1,5,6,2024-06-15,7,0,4,4,0,3,1,0
2024-06-15 02:09:51.224692,New York,-89.0,750.1,103.72,4.2,4.19,4G,iPhone 14,T-Mobile,n260,44,34.1,53,3,244.27,5,True,Medium,84.1,False,2,5,6,2024-06-15,5,0,4,1,2,4,1,0
2024-06-15 02:19:51.224689,Delhi,-98.5,703.33,49.77,16.4,4.53,5G SA,GT 7,Airtel,n258,93,38.0,45,2,478.36,3,False,Medium,55.9,False,2,5,6,2024-06-15,2,2,1,0,2,0,0,0
2024-06-15 02:29:51.224687,Tokyo,-73.2,176.05,85.57,11.0,1.83,5G NSA,iPhone 14,T-Mobile,n78,28,22.5,44,3,341.65,4,False,Medium,19.7,True,2,5,6,2024-06-15,7,1,4,4,2,4,0,1
2024-06-15 02:39:51.224684,Delhi,-93.8,265.88,147.13,12.2,2.09,5G NSA,iPhone 14,Vi,n258,28,35.7,12,3,66.5,3,True,High,78.4,False,2,5,6,2024-06-15,2,1,6,0,0,4,1,0
2024-06-15 02:49:51.224682,Berlin,-109.9,813.26,65.26,18.0,2.85,5G SA,GT 7,Verizon,n260,19,31.2,17,3,431.83,5,False,Low,54.5,True,2,5,6,2024-06-15,0,2,5,1,1,0,0,1
2024-06-15 02:59:51.224679,Tokyo,-91.6,529.22,35.67,18.5,3.6,5G NSA,Pixel 7,Verizon,n41,47,41.5,41,3,77.46,1,True,High,83.8,True,2,5,6,2024-06-15,7,1,5,3,0,3,1,1
2024-06-15 03:09:51.224677,Delhi,-101.9,476.42,44.12,17.6,1.3,4G,Pixel 7,Airtel,n28,53,25.7,41,3,104.82,5,True,High,10.4,False,3,5,6,2024-06-15,2,0,1,2,0,3,1,0
2024-06-15 03:19:51.224674,New York,-72.7,165.15,103.95,1.6,2.81,5G SA,Galaxy S23,T-Mobile,n78,63,26.7,35,2,107.88,1,True,Low,33.6,True,3,5,6,2024-06-15,5,2,4,4,1,1,1,1
