Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,Ping to Google (ms)
0.028000000000000025,0.6832601811211734,0.3108461538461538,0.47368421052631576,0.8142857142857142,1.0,0.6199999999999999,0.22413793103448273,0.25,0.17836734693877554,0.75,0.1988888888888889
0.7700000000000002,0.6518695483082393,0.9899999999999999,0.5947368421052632,0.28571428571428564,0.6404494382022472,0.07999999999999996,0.8620689655172413,1.0,0.27189795918367343,0.5,0.13555555555555554
0.8500000000000001,0.7737096505361409,0.894846153846154,0.9947368421052631,0.22857142857142854,0.752808988764045,0.6440000000000001,0.7586206896551724,0.5,0.3452040816326531,1.0,0.7277777777777777
0.7340000000000002,0.12058447691538418,0.37376923076923085,0.5894736842105261,0.9877551020408162,0.16853932584269665,0.7719999999999998,0.8103448275862069,0.0,0.2425918367346939,0.75,0.861111111111111
0.3360000000000001,0.344252458469915,0.9017692307692308,0.2789473684210526,0.5795918367346937,0.46067415730337075,0.10799999999999998,0.9137931034482758,1.0,0.29981632653061224,0.0,0.25
0.17600000000000016,0.6971720651147286,0.7317692307692307,0.7578947368421052,0.5367346938775509,0.15730337078651685,0.56,0.06896551724137931,0.75,0.05248979591836735,0.75,0.38333333333333336
0.4119999999999999,0.581398966609256,0.4573846153846154,0.09473684210526315,0.7326530612244897,0.07865168539325842,0.45599999999999996,0.9999999999999999,0.5,0.1759387755102041,1.0,0.49666666666666676
0.8820000000000001,0.8092338463247957,0.029076923076923084,0.40526315789473677,0.03469387755102041,0.0898876404494382,0.6240000000000001,0.5344827586206896,0.5,0.6697346938775511,0.0,0.7655555555555557
0.3860000000000001,0.5894660814489694,0.5568461538461539,0.7842105263157895,0.09387755102040816,0.6853932584269662,0.7080000000000002,0.7586206896551724,1.0,0.619265306122449,0.75,0.8344444444444443
0.03200000000000003,0.23514639702205675,0.44607692307692304,0.14210526315789473,0.7285714285714284,0.11235955056179775,0.6359999999999999,0.5689655172413792,0.5,0.035346938775510206,1.0,0.7266666666666667
